"Meslek","Şehir","Nitelikler"
"React.Js Developer","İstanbul","Şirketimizin dış kaynak sağladığı kurumsal bir firmada görev alacak, belirtilen niteliklere uygun Front-End Developer/React.js uzmanları alınacaktır.   Nitelikler  Üniversitelerin Bilgisayar Mühendisliği ya da ilgili diğer mühendislik bölümlerinden mezun   Yazılım geliştirme projelerinde en az 2 yıl tecrübeli  ***İyi derece React.js bilgisi olan   TypeScript, Javascript (Jquery, AJAX, OOP, MVVM),  SCSS, HTML5, RESTfull API konularında bilgi ve tecrübe sahibi  Araştırmacı ve yeni teknolojileri öğrenmeye hevesli  Takım çalışmasına yatkın, sorumluluk sahibi ve etkili iletişim kurabilen   Erkek adaylar için askerliğini yapmış veya en az 2 yıl tecilli olan  "
"Yazılım Uzmanı","Kocaeli","Yazılım Uzmanı   İş Tanımı  Endüstri 4.0 alanında Mobil ve Web yazılımları üzerine, esnek çalışma saatlerine ve takım çalışmasına yatkın yetişmiş ya da yetiştirilmek üzere Yazılım Uzmanı adayları aranmaktadır.     Aranan Nitelikler     Tercihen Üniversitelerin Yazılım ve Bilgisayar Mühendisliği veya ilgili bölümlerinden mezun,  ANGULAR platformunda deneyimli,  Tercihen NET platformu, C#, MVC ve Entity Framework konularında deneyimli,  "
"Ms Sql Server Veritabanı Uzmanı/Uzman Yardımcısı","İstanbul"," "
"Canias ERP Sorumlusu (Boya)","İstanbul","Canias ERP Programında tecrübeli, Ek modül programlarının geliştirilmesinde deneyimli, İstanbul / Ümraniye bölgesinde çalışabilecek,  Erkek adaylar için askerlik görevini tamamlamış,     İŞ TANIMI   Danışmanlık hizmeti verdiğimiz, Boya sektöründe üretim yapan bir firma için;   ERP ile bağlantısı olan diğer programların entegrasyonlarını sağlayacak, Tüm departmanların İş süreçlerini analiz edip gerekli olması durumunda modellemesini yapacak,  Kullanıcı problemlerine destek ve çözüm sunacak,  Kullanıcı eğitimlerini verecek, "
".Net Yazılım Geliştirme Uzmanı","Bursa"," "
"Yazılım Uzman Yardımcısı","Antalya","      Üniversitelerin ilgili bölümlerinden mezun (tercihen Elektronik, Elektrik ve Elektronik, Elektronik Haberleşme, Bilgisayar Mühendisliği)  Linux platformu konusunda tecrübeli ve bilgili Python ile programlama deneyime sahip (Full stack)  Flask, Django framework’ler hakkında bilgi sahibi, tercihen uygulama geliştirmiş  Ethernet, TCP/IP, USB, SPI, CAN, I2C, RS232, RS485 haberleşme ara yüz ve protokolleri   konusunda bilgili  Yazılım yaşam döngüsü için gerekli her türlü dokümantasyonu hazırlayabilen  Tercihen ilişkisel veri tabanıyla çalışmış (PostgreSql, Sqlite)  "
"Uzman Java Yazılım Mühendisi","Ankara","Yazılım teknolojilerini yakından takip ederek elde ettiği kazanımları AR-GE ve Simülasyon Teknolojileri, Komuta Kontrol C5ISR Sistemleri, Bilişim ve Güvenlik Teknolojileri, Nükleer Güvenlik Teknolojileri alanlarında geliştirilen proje ve ürünlerde etkin biçimde uygulayacak, kamu ve ticari kurum projelerinde yer alabilecek,  Üniversitelerin bilgisayar mühendisliği, yazılım mühendisliği veya ilgili bölümlerinden mezun, JAVA ile uygulama geliştirme konusunda en az 3 yıl deneyimli, OOP konusunda deneyimli, Spring (Boot, Security, Context, MVC) teknolojileri ile çalışmış,  Design Principles & Design Patterns konusunda bilgili, ORM araçları hakkında bilgisi olan, Java 8 ile birlikte gelen Stream API, Functional Interface, Lambda Expressions konularına hakim,  Maven veya Gradle konularında bilgili,  TDD konusunda bilgili, birim/entegrasyon test kavramlarına aşina,   Tercihen Spring Cloud bilgisi olan, Tercihen Java EE spesifikasyonlarına (EJB, JPA, vs) aşina,  Tercihen Agile metodolojisi ile yazılım geliştirmiş veya bilgi sahibi olan, Tercihen React, Angular veya diğer Javascript teknolojilerinde bilgili, "
"ASP.NET Yazılım Mühendisi - Backend"," ","Bilkent Cyberpark ofisimizde AB projesi olan global destekli bir projede yer alacak Azure ve .NET tabanlı projelerimiz için çalışma arkadaşı arıyoruz.  Teknik özelliklerden önce;  Takım çalışmasına uygun Sorumluluk bilincinde Güncel teknolojileri takip eden Kendini geliştirmek isteyen  ve yanında aşağıdaki teknik özelliklere;  Tercihen üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği Elektrik - Elektronik Mühendisliği,Bilgisayar Programcılığı vb bölümlerinden mezun Microsoft .NET uygulama geliştirme konusunda minimum 3 yıl deneyime sahip  ASP.NET MVC, .Net Core 3.1, Web API, WCF, SOAP, Rest web servis teknolojilerinde tecrübeli  xUnit testing framework ile unit test yazma deneyimi  Git versiyonlama sistemiyle çalışmış,  OOD, OOP ve tasarım desenleri konusunda bilgi sahibi  Unit Of Work, Repository Pattern ve diğer tasarım desenleri konusunda tecrübeli  SOLID prensiplerini benimsemiş ve uygulamalarında bu prensipleri kullanmaya özen gösteren  Veri tabanı tasarımı ve ilişkisel veri tabanı mimarisi konularında bilgili  "
"Yazılım Geliştirme Uzmanı (Full-Stack)"," "," "
"Analist","İstanbul","Üniversitelerin 4 yıllık mühendislik (Tercihen Endüstri, İşletme, Sigortacılık, Aktüerya, Metematik, İstatistik, ve Bilgisayar Mühendisliği bölümlerinden biri) fakültelerinden mezun Tercihen analist pozisyonunda 1-2 yıl deneyimli. Süreç ve Proje yönetimi konusunda kendisini geliştirmek isteyen, Analitik düşünce, iletişim, analiz, raporlama ve sunum becerileri güçlü, Çözüm üretmeyi seven,  Dinamik, Sonuç odaklı ve takipçi, Dokümantasyon yetkinlikleri kuvvetli, Teknik dokümantasyonu takip edebilecek seviyede İngilizce bilgisi olan çalışma arkadaşları arıyoruz.   İŞ TANIMI Kapsam ve İş analizi yapmak, Fonksiyonel tasarım ve görsel ekran tasarımı gerçekleştirmek Yapılan analize göre en uygun çözümü ve gerekli sistem bileşenlerini tasarlamak Proje risklerini belirlemek, uygun çözümler üretmek, önlemler almak, Proje ekibi ve Müşteriyi yönlendirmek, Proje sürecinin her aşamasında iletişim, takip, bilgilendirme, raporlama ve koordinasyon ihtiyaçlarınıyönetmek, teknik sorunları çözmek Proje, İş, Kaynak ve Bütçe planları hazırlamak Periyodik Proje durum raporları hazırlamak "
"Yazılım Geliştirme Uzmanı"," ","GENEL NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği bölümlerinden mezun, .NET(C#, MVC) platformlarında uygulama geliştirme konusunda en az 3 yıllık deneyime sahip, MSSQL ve SQL Server konusunda tecrübeli, ERP uygulamaları ve projeleri konusunda deneyimli, Tercihen Dynamics Axapta / Dynamics 365 platformları üzerinde çalışmış, Web servislerinin geliştirilmesi ve sistemler arası entegrasyonu konusunda tecrübeli, Takım çalışmasına yatkın, Erkek adaylar için askerlik görevini yerine getirmiş, Bursada ikamet eden veya edebilecek,  Çalışma arkadaşları aramaktayız.  İŞ TANIMI  Firmamızın Bursa ve diğer lokasyonlarında oluşacak yazılım geliştirme süreçlerinde görev alacak, Oluşan ihtiyaçlara istinaden ERP sistemi üzerinde geliştirme yapabilecek, ERP dışı oluşan ihtiyaçlarda iş süreçlerinin analizi ve ihtiyaçların çıkarılmasında destek sağlayacak, Yazılım, veri tabanı ve sistem altyapısıyla ilgili çalışmalarda aktif rol alacak, "
"Java Yazılım Uzmanı","İstanbul"," Üniversitelerin Bilgisayar Mühendisliği veya benzeri 4 yıllık bölümlerinden mezun  2-8 yıl yazılım projelerinde aktif görev almış Çok katmanlı uygulama geliştirme mimarilerinde yazılım geliştirme yapmış Java platformlarında (JEE, Spring, Struts, vb.) uygulama geliştirme deneyimi olan Web servisleri konusunda deneyimli (RESTful, SOAP, vb.) Web tabanlı uygulama geliştirme konusunda deneyimli (AJAX, JSON, HTML, Java Script, vb.)  DevOps Tool deneyimi (Jenkins, Docker, Openshift vs.) ve Spring Boot & Microservices tecrübesi tercih sebebidir.  Müşteri ihtiyaçlarını anlayarak uygulama tasarımını oluşturabilecek, sorumluluk üstlenebilecek Ekip çalışmasına yatkın, yeni teknolojilere ve gelişmeye açık Erkek adaylar için askerliğini tamamlamış veya en az 2 yıl tecilli     İŞ TANIMI   "
"Kıdemli Yazılım Geliştirme Uzmanı","İstanbul"," "
